In welchem Monat wird der Muttertag gefeiert?;im Mai;Familie;101
"Wie heiát ein klassisches Familienspiel: ""Mensch?""?";"""Mensch, „rgere dich nicht""";Familie;102
Welches tragische junge Liebespaar gilt als das berhmteste der Weltliteratur? Tipp: Ihre Geschichte wurde von William Shakespeare zu Papier gebracht.;Romeo und Julia;Familie;103
Welche blonden Zwillingsschwestern feierten besonders in den 1960er- und 1970er-Jahren groáe Erfolge als S„ngerinnen, T„nzerinnen und Schauspielerinnen?;die Kessler-Zwillinge;Familie;104
Worin klebt man gerne Familienfotos ein und l„sst Besucher darin bl„ttern?;Fotoalbum;Familie;105
"Was hat das M„del eines verliebten Burschen in einem Volkslied? ""Mein M„del hat einen ?""";"""Mein M„del hat einen Rosenmund und wer ihn ksst, der wird gesund.""";Familie;106
Womit vergiftet die Stiefmutter das Schneewittchen im M„rchen?;mit einem Apfel;Familie;107
"Wie heiát die Familie in der Fernsehserie ""Ein Herz und eine Seele"", deren Oberhaupt ""Ekel Alfred"" genannt wird?";Familie Tetzlaff;Familie;108
Wie bezeichnet man das 10-j„hrige Hochzeitsjubil„um? Tipp: Denken Sie an die K”nigin der Blumen.;Rosenhochzeit;Familie;109
"Welche Verwandten wurden frher mit dem Begriff ""Oheim"" bezeichnet?";Bruder und Schwager der Mutter;Familie;110
Der englische K”nig Heinrich VIII. war bekannt fr seine zahlreichen Ehen, von denen die meisten katastrophal endeten. Wie oft war der K”ig verheiratet?;sechs Mal (2 Ehefrauen wurden hingerichtet, 2 Ehen annulliert, 1 Frau starb und die letzte berlebte den K”nig nur um anderthalb Jahre);Familie;111
Mit welchem tierischen Symbol vor dem Haus wird h„ufig die Geburt eines Kindes bekannt gegeben?;mit einem Storch;Familie;112
Wie heiáen die berhmten Gebrder Grimm mit Vornamen?;Jakob und Wilhem;Familie;113
Wlchem Beruf gingen die Brder Thomas und Heinrich Mann nach?;Schriftsteller;Familie;114
An welchem Datum feiert man den Valentinstag, als Tag der Liebenden?;am 14. Februar;Familie;115
